"n_obs","bairro","tipo","n_quartos","preco"
"1","Barra","Apto.","2","165"
"2","Barra","Apto.","3","240"
"3","Barra","Cobt.",,"158"
"4","Barra","Sala",,"150"
"5","Botafogo","Apto.","2","59"
"6","Catete","Apto.","1","54"
"7","Centro","Sala",,"35"
"8","Copacabana","Apto.","2","83"
"9","Copacabana","Apto.","3","180"
"10","Copacabana","Apto.","4+","85"
"11","Flamengo","Apto.","1","58"
"12","Flamengo","Cobt.",,"120"
"13","Gávea","Apto.","4+","250"
"14","Ipanema","Apto.","3","130"
"15","Jacarepaguá","Apto.","3","90"
"16","Lagoa","Apto.","2","130"
"17","Laranjeiras","Apto.","2","68"
"18","Laranjeiras","Apto.","4+","360"
"19","Leblon","Apto.","3","300"
"20","Leblon","Apto.","4+","600"
"21","Maracanã","Apto.","3","137"
"22","Recreio","Cobt.",,"240"
"23","São Conrado","Casa","4+","650"
"24","Tijuca","Apto.","2","49"
"25","Tijuca","Apto.","2","95"
"26","Tijuca","Apto.","4+","170"
"27","Vila Isabel","Apto.","2","57"
